distance,dropoff_latitude,dropoff_longitude,passengers,pickup_latitude,pickup_longitude,pickup_weekday,pickup_month,pickup_monthday,pickup_hour,pickup_minute,pickup_second,dropoff_weekday,dropoff_month,dropoff_monthday,dropoff_hour,dropoff_minute,dropoff_second,store_forward,vendor
2.27,40.68046188,-73.97457886,1,40.65022659,-73.96095276,5,1,30,18,22,13,5,1,30,18,36,34,0,2
1.99,40.78751755,-73.97467804,1,40.80337143,-73.95278931,0,1,18,13,19,54,0,1,18,13,30,1,0,2
1.25,40.79314041,-73.95195007,1,40.80639267,-73.94244385,1,1,19,7,58,41,1,1,19,8,6,32,0,2
1.06,40.8021431,-73.95688629,1,40.81578445,-73.94700623,1,1,5,20,42,4,1,1,5,20,47,36,0,2
2.58,40.67495346,-73.98143005,6,40.68701935,-73.97770691,4,1,29,20,15,2,4,1,29,20,34,51,0,2
1.11,40.70963669,-73.94363403,1,40.72180939,-73.95054626,5,1,23,1,39,18,5,1,23,1,49,17,0,2
13.62,40.86421585,-73.91915894,1,40.74780273,-73.88278961,5,1,16,0,33,36,5,1,16,1,14,32,0,2
3.57,40.71674728,-73.95456696,1,40.67198563,-73.95305634,4,1,22,12,40,3,4,1,22,12,58,54,0,2
1.87,40.82804871,-73.94177246,1,40.80841827,-73.9407959,3,1,21,23,43,29,3,1,21,23,51,23,0,2
1.13,40.79714584,-73.97016144,1,40.81188965,-73.96110535,2,1,13,20,24,36,2,1,13,20,29,8,0,2
1.5,40.67721176,-73.97129059,1,40.69281769,-73.96982574,4,1,15,20,12,34,4,1,15,20,21,43,0,1
1.2,40.79757309,-73.93933105,2,40.80896759,-73.94474792,0,1,4,15,37,26,0,1,4,15,45,19,0,2
5.98,40.78533936,-73.95324707,1,40.84189606,-73.94239044,4,1,22,21,29,53,4,1,22,21,49,21,0,2
2.1,40.69492722,-73.93328857,1,40.71323776,-73.95840454,4,1,8,4,29,43,4,1,8,4,39,26,0,1
3.28,40.72022247,-74.0098114,1,40.69001007,-73.99449158,3,1,21,7,33,51,3,1,21,7,50,49,0,2
2.4,40.70046234,-73.94271088,1,40.69330597,-73.97915649,1,1,12,10,8,44,1,1,12,10,26,12,0,1
1.49,40.76744461,-73.86699677,1,40.75161362,-73.85608673,0,1,25,23,53,4,1,1,26,0,0,57,0,2
2.9,40.68141174,-73.94663239,1,40.66697311,-73.98142242,4,1,22,21,9,11,4,1,22,21,22,36,0,2
0.75,40.67962646,-73.96504211,1,40.68397522,-73.97611237,5,1,30,11,36,28,5,1,30,11,42,30,0,2
1.07,40.79872894,-73.93943787,1,40.78590012,-73.94313049,5,1,2,16,12,31,5,1,2,16,17,39,0,2
2.12,40.72218704,-73.99615479,1,40.69781113,-73.98500824,6,1,24,13,31,4,6,1,24,13,38,10,0,2
1.9,40.68787384,-74.00139618,1,40.68212509,-73.97650146,0,1,11,23,3,47,0,1,11,23,14,9,0,1
0.63,40.78727341,-73.94179535,1,40.79229355,-73.95043945,4,1,15,21,37,21,4,1,15,21,41,0,0,2
4.6,40.63505936,-74.02050018,1,40.69320679,-73.99090576,0,1,4,12,37,13,0,1,4,12,59,58,0,1
3.13,40.76348114,-73.96265411,1,40.79816818,-73.95236969,3,1,14,22,58,58,3,1,14,23,11,34,0,2
3.21,40.6904335,-73.93372345,1,40.71713638,-73.95850372,0,1,4,17,15,43,0,1,4,17,38,56,0,2
0.82,40.80583572,-73.93467712,1,40.80089188,-73.93520355,2,1,20,6,12,36,2,1,20,6,15,56,0,2
17.81,40.70653534,-73.72917938,1,40.68519211,-73.94018555,1,1,5,23,43,37,2,1,6,0,22,25,0,2
6.66,40.86890793,-73.86710358,1,40.81441116,-73.91346741,3,1,7,20,29,17,3,1,7,20,45,38,0,2
0.82,40.80989075,-73.95884705,1,40.80789948,-73.94568634,0,1,11,12,41,44,0,1,11,12,46,11,0,2
1.99,40.80694962,-73.91568756,1,40.82803345,-73.91253662,4,1,15,20,26,18,4,1,15,20,36,25,0,2
8.3,40.71532822,-74.00942993,1,40.78547287,-73.94995117,4,1,29,23,31,3,4,1,29,23,49,55,0,2
0.63,40.58684158,-73.9439621,1,40.58729172,-73.95379639,2,1,6,16,31,44,2,1,6,16,34,52,0,2
1.26,40.67438507,-73.97559357,1,40.6713562,-73.95774841,0,1,4,14,29,18,0,1,4,14,36,8,0,2
0.81,40.80594254,-73.95433807,1,40.80952454,-73.94432831,4,1,29,15,21,35,4,1,29,15,28,20,0,2
7.33,40.76385117,-73.97966003,3,40.70257568,-73.99032593,6,1,17,15,47,31,6,1,17,16,19,16,0,2
1.15,40.79753876,-73.96291351,2,40.80221939,-73.94992065,6,1,17,11,6,51,6,1,17,11,12,30,0,2
8.23,40.77501297,-73.89237976,1,40.69041443,-73.96015167,0,1,18,1,18,34,0,1,18,1,33,38,0,2
2.21,40.66529465,-73.98363495,1,40.69203186,-73.98139191,2,1,20,23,47,39,2,1,20,23,58,33,0,2
0.96,40.75553131,-73.88607788,1,40.74685287,-73.89139557,0,1,25,16,49,30,0,1,25,17,6,17,0,2
1.8,40.77388382,-73.9622345,1,40.79629135,-73.94966888,0,1,11,14,40,27,0,1,11,14,57,16,0,1
4.36,40.85572052,-73.91644287,1,40.80631256,-73.9420166,4,1,1,15,26,56,4,1,1,15,36,53,0,2
1.61,40.68242645,-73.79109955,1,40.70021439,-73.80744934,4,1,22,18,10,30,4,1,22,18,21,53,0,2
5.8,40.7025528,-73.9103241,1,40.74889755,-73.86965942,2,1,27,18,3,3,2,1,27,18,38,22,0,1
5.07,40.70571136,-73.93341827,6,40.69815826,-73.99549103,5,1,30,17,35,17,5,1,30,17,52,52,0,2
4.2,40.77038574,-73.86488342,1,40.74583435,-73.90327454,3,1,14,14,48,36,3,1,14,14,59,43,0,2
5.84,40.78063583,-73.97267151,1,40.7462616,-73.89790344,0,1,11,23,18,36,0,1,11,23,40,18,0,2
0.64,40.7251358,-73.95749664,2,40.71787262,-73.9576416,3,1,21,19,29,50,3,1,21,19,34,44,0,2
2.03,40.77617645,-73.92681122,1,40.75964355,-73.91840363,4,1,8,9,9,46,4,1,8,9,23,7,0,2
3.12,40.78604126,-73.98094177,1,40.78669739,-73.9528656,0,1,4,21,50,33,0,1,4,22,5,23,0,2
1.19,40.75273132,-73.87723541,1,40.74990082,-73.8625946,5,1,23,4,35,50,5,1,23,4,44,30,0,2
7,40.64929581,-73.97499847,2,40.7144165,-73.96140289,1,1,19,22,36,28,1,1,19,23,0,16,0,1
0.7,40.67648315,-73.98038483,1,40.66885376,-73.98001862,1,1,12,15,25,38,1,1,12,15,30,28,0,1
2.75,40.77387238,-73.79238892,1,40.75949478,-73.8303833,2,1,13,21,52,11,2,1,13,22,2,36,0,2
3.46,40.72605133,-74.00384521,1,40.69441223,-73.96704865,4,1,8,9,58,41,4,1,8,10,24,39,0,2
0.43,40.8117218,-73.95740509,1,40.81090164,-73.95275116,4,1,29,23,55,19,4,1,29,23,58,37,0,2
1.28,40.79798889,-73.96365356,1,40.81053543,-73.95217896,6,1,3,2,29,28,6,1,3,2,35,22,0,2
2.3,40.7495575,-73.97718048,1,40.74477386,-73.95751953,3,1,7,17,30,36,3,1,7,17,43,37,1,1
1.2,40.79285812,-73.96766663,1,40.80151367,-73.95391846,2,1,13,7,41,27,2,1,13,7,48,5,0,2
1.09,40.82350159,-73.90896606,1,40.83850098,-73.90092468,2,1,6,17,0,30,2,1,6,17,7,56,0,2
0.61,40.71459198,-73.96630859,1,40.71602631,-73.95749664,1,1,5,10,2,25,1,1,5,10,4,47,0,2
6.03,40.85873413,-73.86459351,1,40.81166077,-73.90956879,0,1,25,18,47,45,0,1,25,19,6,32,0,2
1.7,40.81995773,-73.95983887,1,40.80548477,-73.93893433,2,1,13,19,24,43,2,1,13,19,36,35,0,1
0.57,40.7470665,-73.89649963,6,40.74655533,-73.89480591,0,1,18,6,7,7,0,1,18,6,11,5,0,2
1.45,40.71265793,-73.81070709,1,40.71369171,-73.83024597,1,1,19,19,8,21,1,1,19,19,15,58,0,2
3.34,40.72755432,-73.80735779,1,40.72647095,-73.78985596,0,1,11,14,30,19,0,1,11,15,6,50,0,2
1.7,40.6758194,-74.01477814,1,40.69367218,-73.99776459,5,1,30,19,44,35,5,1,30,19,51,24,0,1
0.5,40.7172966,-73.96426392,1,40.71678543,-73.95665741,5,1,30,19,48,33,5,1,30,19,52,28,0,2
2.44,40.80578232,-73.92488861,5,40.79584885,-73.93262482,5,1,16,14,9,44,5,1,16,14,20,47,0,2
1.86,40.81116486,-73.94683075,1,40.79179382,-73.94509125,5,1,16,1,6,43,5,1,16,1,14,32,0,2
2.65,40.6906395,-73.95835876,2,40.72384644,-73.95083618,5,1,30,0,53,54,5,1,30,1,5,28,0,2
2.51,40.71868515,-73.98899841,1,40.70401382,-73.98667145,5,1,30,19,58,0,5,1,30,20,7,37,0,2
1.07,40.72706604,-73.95285034,1,40.71412277,-73.94934845,6,1,24,22,9,30,6,1,24,22,17,48,0,2
2.42,40.671978,-74.01053619,1,40.69127655,-73.99123383,1,1,5,19,1,48,1,1,5,19,11,8,0,2
0.78,40.7693634,-73.91495514,1,40.76121521,-73.92373657,1,1,12,22,25,21,1,1,12,22,30,52,0,2
4.48,40.67722321,-73.95401001,1,40.72385025,-73.95056152,3,1,14,0,22,7,3,1,14,0,40,53,0,2
5.93,40.74005127,-73.98978424,5,40.79538345,-73.93283081,4,1,8,11,26,38,4,1,8,11,52,32,0,2
0.57,40.72595215,-73.9409256,2,40.72332382,-73.95182037,4,1,15,23,30,3,4,1,15,23,32,43,0,2
1.24,40.72199249,-73.94208527,2,40.7182045,-73.95765686,2,1,6,20,38,7,2,1,6,20,43,38,0,2
1.14,40.68064117,-73.99671173,2,40.69199371,-73.98727417,5,1,30,21,0,4,5,1,30,21,8,12,0,2
0.71,40.73683167,-73.92466736,1,40.74354935,-73.92375183,2,1,20,1,53,52,2,1,20,1,57,55,0,2
3.97,40.58554459,-73.96613312,6,40.62747955,-73.95675659,4,1,1,5,22,46,4,1,1,5,32,41,0,2
9.96,40.64561844,-73.77632141,1,40.72835922,-73.7948761,6,1,24,12,29,39,6,1,24,12,56,38,0,2
4.06,40.75397873,-73.94945526,1,40.74842834,-73.89178467,5,1,2,18,15,6,5,1,2,18,40,1,0,2
0.84,40.76592636,-73.91470337,6,40.76174164,-73.92549133,2,1,13,20,51,41,2,1,13,20,56,3,0,2
2.02,40.80820847,-73.96391296,1,40.80509186,-73.9393692,2,1,20,8,35,43,2,1,20,8,46,19,0,2
21.68,40.66953659,-73.95709229,1,40.84832764,-73.90072632,3,1,28,23,7,22,4,1,29,0,6,52,0,2
3.3,40.69668961,-73.85461426,1,40.73417282,-73.8711853,4,1,8,11,50,20,4,1,8,12,5,2,0,1
1.35,40.8080368,-73.94515991,1,40.81892395,-73.9447937,4,1,22,23,14,6,4,1,22,23,22,29,0,2
0.4,40.71346283,-73.82347107,1,40.71357346,-73.82992554,1,1,19,13,25,58,1,1,19,13,27,35,0,1
0.57,40.6879158,-73.94767761,1,40.68034744,-73.94979858,2,1,20,3,22,45,2,1,20,3,24,59,0,2
4.06,40.76124191,-73.98694611,1,40.80381012,-73.94829559,3,1,21,15,38,32,3,1,21,16,4,8,0,2
1.19,40.70125198,-73.94211578,5,40.69502258,-73.95199585,5,1,16,15,59,7,5,1,16,16,8,35,0,2
1.61,40.77906036,-73.95378113,1,40.79862213,-73.9418335,5,1,2,21,55,32,5,1,2,22,1,33,0,2
9.69,40.63905716,-74.02731323,1,40.7018013,-73.98770905,6,1,24,12,34,42,6,1,24,13,9,15,0,2
2.68,40.71224976,-73.89002228,5,40.72888184,-73.85822296,6,1,17,14,51,58,6,1,17,15,7,48,0,2
1.26,40.78804398,-73.94824219,1,40.803936,-73.93782806,2,1,27,22,31,38,2,1,27,22,35,25,0,2
0.38,40.67359924,-73.97605133,1,40.66886139,-73.97986603,1,1,12,19,51,47,1,1,12,19,54,3,0,2
0.94,40.77775192,-73.95906067,1,40.78892899,-73.95288086,1,1,19,9,28,15,1,1,19,9,35,12,0,2
0.18,40.72307587,-73.95041656,1,40.72538757,-73.95172882,6,1,10,0,46,50,6,1,10,0,47,40,0,2
2.72,40.71219635,-73.88505554,5,40.72136307,-73.84420776,0,1,18,1,9,26,0,1,18,1,21,31,0,2
9.01,40.85526657,-73.86195374,2,40.79209137,-73.95055389,6,1,17,5,6,34,6,1,17,5,25,9,0,2
0.76,40.7122879,-73.84972382,1,40.72138214,-73.84422302,0,1,25,15,35,1,0,1,25,15,40,55,0,2
1.5,40.84628677,-73.9123764,1,40.82878876,-73.9214859,2,1,6,7,41,1,2,1,6,7,50,33,0,1
2.21,40.69350433,-73.92533112,1,40.71404266,-73.94966125,4,1,1,3,17,39,4,1,1,3,29,41,0,2
1.5,40.71133041,-73.95121765,1,40.69456863,-73.95575714,5,1,2,2,36,48,5,1,2,2,43,6,0,2
1.95,40.73896408,-73.88999176,1,40.73073196,-73.86333466,6,1,10,20,43,22,6,1,10,20,54,38,0,2
1,40.68685532,-73.97821808,1,40.69387817,-73.99365234,5,1,16,18,33,39,5,1,16,18,41,49,0,1
0.6,40.71414185,-73.95180511,2,40.72227097,-73.9502182,5,1,9,1,28,50,5,1,9,1,31,33,0,1
10.99,40.7662468,-73.92761993,1,40.6936264,-73.98715973,3,1,14,20,14,17,3,1,14,21,5,23,0,2
0.97,40.72626114,-73.94924164,1,40.73788834,-73.95543671,2,1,27,11,41,27,2,1,27,11,48,40,0,2
2.1,40.78006744,-73.98104858,5,40.80635834,-73.96525574,5,1,30,14,18,18,5,1,30,14,30,57,0,2
0.86,40.73514175,-73.95587921,1,40.72727585,-73.95284271,2,1,6,19,35,19,2,1,6,19,42,37,0,2
6.41,40.71521759,-73.9338913,6,40.7640686,-73.92359924,5,1,16,3,43,6,5,1,16,3,58,32,0,2
1.71,40.73067856,-73.87998199,1,40.74766541,-73.88452148,0,1,11,3,11,52,0,1,11,3,19,18,0,2
6.91,40.65506363,-73.88921356,1,40.71658325,-73.84708405,5,1,23,5,7,17,5,1,23,5,32,45,0,2
0.87,40.74853897,-73.86083984,1,40.74908829,-73.86928558,5,1,30,18,20,20,5,1,30,18,29,14,0,2
1.1,40.80786896,-73.92366028,1,40.80538177,-73.93984222,2,1,20,21,20,47,2,1,20,21,25,44,0,2
2.4,40.68907166,-73.95834351,1,40.70243073,-73.98683929,2,1,20,20,14,28,2,1,20,20,24,8,0,2
1.13,40.71450424,-73.96134949,1,40.7269249,-73.95729065,4,1,22,2,52,11,4,1,22,2,58,23,0,2
2.68,40.76987076,-73.87602997,1,40.74694061,-73.89090729,5,1,16,20,30,9,5,1,16,20,36,43,0,2
2.27,40.65730667,-73.89258575,1,40.67899704,-73.90930939,2,1,20,15,57,1,2,1,20,16,15,26,0,2
0.26,40.74653625,-73.94733429,1,40.74761963,-73.94478607,4,1,29,14,27,50,4,1,29,14,30,37,0,2
0.85,40.69300842,-73.97380829,1,40.68474579,-73.97779083,0,1,18,17,55,24,0,1,18,17,59,24,0,2
0.8,40.70518112,-73.96240997,1,40.71137619,-73.96641541,5,1,30,11,49,19,5,1,30,11,52,29,0,2
1.82,40.69215393,-73.96565247,1,40.6962204,-73.99356079,5,1,9,13,39,46,5,1,9,13,51,54,0,2
0.88,40.66589355,-73.98906708,1,40.65459824,-74.00037384,1,1,5,14,8,55,1,1,5,14,13,6,0,2
1.13,40.71055603,-73.84454346,1,40.7216568,-73.84427643,1,1,19,19,18,10,1,1,19,19,25,35,0,2
2.2,40.74213791,-73.85947418,1,40.74748611,-73.88544464,5,1,2,18,27,8,5,1,2,18,44,51,0,1
1.95,40.65280914,-73.94732666,1,40.67062759,-73.93101501,0,1,25,22,2,38,0,1,25,22,17,16,0,2
4.73,40.62710571,-74.02968597,1,40.66094208,-73.99381256,5,1,16,5,0,52,5,1,16,5,14,14,0,2
3.3,40.72717667,-73.98873138,1,40.69496918,-73.99724579,4,1,22,17,30,1,4,1,22,17,47,3,0,1
12.8,40.66820908,-73.79472351,1,40.69376755,-73.99076843,5,1,30,20,45,20,5,1,30,21,29,6,0,1
3.4,40.86351013,-73.9259491,1,40.81842422,-73.9413147,5,1,16,19,0,43,5,1,16,19,17,9,0,1
2.86,40.72167587,-73.94065094,1,40.69112396,-73.95459747,4,1,1,2,1,35,4,1,1,2,10,40,0,2
6.88,40.84059143,-73.85459137,1,40.82931137,-73.94823456,5,1,30,14,2,51,5,1,30,14,29,27,0,2
3.2,40.67464447,-73.98163605,1,40.63963318,-73.99803925,4,1,29,11,33,25,4,1,29,11,51,32,0,1
0.13,40.83204651,-73.90972137,3,40.82835007,-73.91164398,4,1,29,2,46,23,4,1,29,2,47,17,0,2
1.3,40.81019974,-73.9515152,1,40.8253479,-73.95139313,0,1,18,18,6,55,0,1,18,18,15,33,0,1
2.73,40.79238892,-73.97616577,1,40.81615067,-73.94691467,3,1,28,17,9,27,3,1,28,17,29,37,0,2
5.6,40.5749054,-74.00283813,1,40.62748718,-73.97135162,4,1,8,19,20,18,4,1,8,19,38,42,0,2
0.87,40.80528641,-73.95552063,1,40.79882813,-73.94194794,2,1,20,0,30,46,2,1,20,0,35,27,0,2
1.8,40.74827576,-73.87626648,2,40.73638916,-73.86566162,0,1,11,9,29,44,0,1,11,9,42,56,0,1
0.94,40.69243622,-73.98529816,1,40.6847229,-73.97789001,0,1,4,20,48,8,0,1,4,20,53,8,0,2
1.85,40.73513412,-73.87469482,1,40.7468071,-73.89109039,5,1,30,21,23,11,5,1,30,21,36,52,0,2
2.43,40.74372101,-73.91439056,1,40.74434662,-73.95552826,1,1,19,9,34,14,1,1,19,9,52,44,0,2
0.34,40.81064224,-73.95214081,1,40.80814743,-73.94626617,1,1,26,8,21,53,1,1,26,8,25,18,0,2
3.04,40.76682663,-73.92120361,1,40.74689865,-73.89108276,4,1,15,6,38,47,4,1,15,6,49,24,0,2
2.29,40.66404343,-73.98403931,1,40.68488693,-73.99925232,6,1,17,19,20,27,6,1,17,19,30,8,0,2
0.28,40.65097046,-73.9495697,1,40.65143204,-73.95409393,4,1,15,8,43,19,4,1,15,8,46,6,0,2
2.95,40.6662178,-73.95359039,5,40.63489151,-73.96802521,2,1,13,19,8,20,2,1,13,19,24,53,0,2
2.45,40.75932693,-73.97675323,1,40.79109192,-73.95352936,4,1,15,19,56,54,4,1,15,20,8,0,0,2
1.1,40.69201279,-73.96861267,1,40.6771698,-73.96366119,2,1,13,19,26,37,2,1,13,19,33,19,0,1
0.5,40.80877304,-73.93798828,1,40.80807114,-73.94517517,2,1,20,21,32,57,2,1,20,21,36,17,0,1
2.98,40.69228745,-73.93710327,1,40.69121552,-73.98736572,5,1,30,20,6,29,5,1,30,20,24,43,0,2
1.34,40.74366379,-73.92336273,4,40.76011658,-73.91809845,4,1,15,18,36,16,4,1,15,18,47,24,0,2
1.76,40.67372894,-73.97277832,1,40.65431213,-73.9741745,4,1,22,10,29,29,4,1,22,10,39,7,0,2
2.26,40.68320465,-73.93149567,1,40.70491409,-73.93356323,2,1,13,22,53,13,2,1,13,23,3,47,0,2
0.6,40.65543365,-74.00350189,2,40.66215897,-73.99643707,3,1,28,0,20,18,3,1,28,0,22,44,0,1
0.37,40.77473831,-73.91241455,1,40.77118301,-73.90812683,0,1,4,8,20,47,0,1,4,8,23,20,0,2
1.4,40.75522614,-73.91779327,1,40.77015686,-73.91814423,5,1,9,3,47,34,5,1,9,3,53,58,0,1
0.64,40.7437439,-73.92163849,1,40.74451828,-73.91129303,5,1,9,13,28,12,5,1,9,13,31,45,0,2
0.7,40.78225327,-73.95800781,1,40.79065704,-73.95391846,1,1,12,14,56,33,1,1,12,15,5,1,0,2
4.7,40.71402359,-73.96159363,1,40.67821884,-73.98516083,5,1,9,12,3,28,5,1,9,12,20,49,0,2
17.78,40.64305115,-73.78974915,5,40.7023201,-73.98974609,5,1,2,19,9,5,5,1,2,19,47,35,0,2
0.71,40.7433815,-73.89391327,1,40.7454567,-73.90343475,3,1,21,2,6,3,3,1,21,2,9,47,0,2
1.5,40.69635773,-73.97158051,1,40.68400574,-73.97602081,5,1,16,19,5,23,5,1,16,19,13,59,0,1
0.42,40.85534668,-73.93442535,2,40.85155869,-73.93202972,6,1,3,11,36,56,6,1,3,11,40,10,0,2
0.66,40.75527191,-73.89765167,1,40.74961853,-73.89833832,1,1,26,22,4,19,1,1,26,22,9,13,0,2
1.52,40.68507004,-73.97994232,1,40.68159103,-73.95723724,0,1,11,19,7,30,0,1,11,19,17,42,0,2
6.4,40.78252029,-73.9827652,1,40.85537338,-73.93766022,2,1,20,7,40,47,2,1,20,8,7,12,0,1
5.61,40.75110626,-73.97611237,1,40.70689011,-73.95043945,1,1,19,13,29,50,1,1,19,14,4,29,0,2
4.06,40.85215759,-73.93764496,1,40.8054657,-73.96218872,1,1,12,20,7,26,2,1,13,19,49,15,0,2
1.78,40.68993378,-73.98422241,6,40.68121338,-73.95587158,3,1,7,8,45,47,3,1,7,9,1,53,0,2
0.74,40.87003326,-73.91248322,1,40.87789154,-73.90550232,4,1,29,13,26,25,4,1,29,13,29,48,0,2
0.61,40.76113892,-73.93550873,1,40.75408554,-73.94224548,2,1,6,0,30,42,2,1,6,0,33,25,0,2
0.73,40.68009186,-74.00136566,1,40.6907692,-73.99607086,5,1,30,12,2,30,5,1,30,12,9,14,0,2
